"building_class","fov","architecture","iteration","train_n","validation_n","test_n","kappa","precision","recall","computation_time(seconds)","test_accuracy","average_accuracy","f_score"
Residentia,F30,inception_v3,0,63976,21232,21142,0.3782080526686685,0.8307797250498479,0.9705161211229619,674,82.47091174125671,79.99867915076494,0.8952278638471108
Residentia,F30,inception_v3,1,63901,21307,21142,0.4440853959410597,0.8843005561968728,0.9656219561106973,2335,86.73257231712341,79.81963433575535,0.9231738380214183
Residentia,F30,inception_v3,2,63726,21482,21142,0.40105208227793104,0.8488823591142827,0.9694391179290508,2506,83.96556377410889,80.20803350273908,0.9051642141778101
Residentia,F30,inception_v3,3,64021,21187,21142,0.36240442938821393,0.8156154895581907,0.9718644491684382,2591,81.25059008598328,79.98422937234332,0.886910875271026
Residentia,F30,mobilenet_1.0_224,0,63976,21232,21142,0.3107936395733039,0.9828418511911009,0.9225275807722616,1441,91.01315140724182,61.40216933498691,0.9517300950154972
Residentia,F30,mobilenet_1.0_224,1,63901,21307,21142,0.2871596525200175,0.9883513485150593,0.9197714732164657,857,91.17869734764099,59.99818162920786,0.9528289956243519
Residentia,F30,mobilenet_1.0_224,2,63726,21482,21142,0.07732014818626932,0.3275264980585581,0.9868774703557313,971,38.98874223232269,64.38496213901236,0.4918252373635898
Residentia,F30,mobilenet_1.0_224,3,64021,21187,21142,0.21718587455835264,0.9905551474446427,0.9144988615995737,1066,90.8003032207489,57.18130823595574,0.9510087907105615
Residentia,F60,inception_v3,0,63976,21232,21142,0.4172065466478815,0.8440025186273481,0.974907570155767,1371,83.97975564002991,82.26730443424648,0.9047444947549006
Residentia,F60,inception_v3,1,63901,21307,21142,0.45517788245701596,0.872494490502676,0.9723407987836968,2199,86.26903891563416,82.27635600306087,0.9197157001023258
Residentia,F60,inception_v3,2,63726,21482,21142,0.48379378856603833,0.892748452093609,0.9700667084782485,2409,87.8488302230835,82.04145331485319,0.9298029893160642
Residentia,F60,inception_v3,3,64021,21187,21142,0.4355453325731098,0.8578549690418722,0.9737923640478885,2499,85.10547876358032,82.33612657109553,0.9121544341227997
Residentia,F60,mobilenet_1.0_224,0,63976,21232,21142,0.27133097630634123,0.9933361318081646,0.9178666666666667,1662,91.38681292533875,59.02381234856562,0.9541113323085452
Residentia,F60,mobilenet_1.0_224,1,63901,21307,21142,0.07466728682906146,0.9983209151012699,0.9053102398172821,1339,90.43610095977783,52.17132406600399,0.9495433448120976
Residentia,F60,mobilenet_1.0_224,2,63726,21482,21142,0.13909782885837985,0.4817399517263092,0.9882669537136706,1344,52.76700258255005,71.47183443852275,0.6477352899675461
Residentia,F60,mobilenet_1.0_224,3,64021,21187,21142,0.5071749301624416,0.9664707734284814,0.9460681082746931,1317,92.011159658432,73.13160009176957,0.9561606146338931
Residentia,F90,inception_v3,0,63976,21232,21142,0.49233880158266097,0.8922762094658411,0.971936442615455,1646,87.9670798778534,82.83358014699647,0.9304043333150954
Residentia,F90,inception_v3,1,63901,21307,21142,0.42516089462358037,0.8409591772483996,0.9779716865999512,2175,83.95610451698303,83.38673045551019,0.9043051402132822
Residentia,F90,inception_v3,2,63726,21482,21142,0.45984568479501264,0.8688214922867038,0.974802778758978,2493,86.15078926086426,83.17236060281888,0.9187659527244479
Residentia,F90,inception_v3,3,64021,21187,21142,0.4979421556748147,0.8968412215342638,0.9711363636363637,2640,88.29817175865173,82.65396126865177,0.9325113208576573
Residentia,F90,mobilenet_1.0_224,0,63976,21232,21142,0.1079225790179203,0.4098016580963375,0.9882323168417056,1646,46.357959508895874,68.2587969163332,0.5793553651570787
Residentia,F90,mobilenet_1.0_224,1,63901,21307,21142,0.21535121123247908,0.622415783398048,0.985461493727673,1370,65.13574719429016,76.92213273995998,0.7629522431259044
Residentia,F90,mobilenet_1.0_224,2,63726,21482,21142,0.41317302823022517,0.845471717913737,0.9734187156406694,1401,83.98921489715576,81.71696401468877,0.9049451012327652
Residentia,F90,mobilenet_1.0_224,3,64021,21187,21142,0.25722266012244155,0.6847518102634065,0.9827547255064387,1370,70.4994797706604,78.74334867055995,0.8071249652101308
Residentia,F30_60_90,inception_v3,0,191928,63696,63426,0.39698554695531457,0.8363766747122818,0.9729790221173215,3595,83.15674662590027,81.1982323280645,0.899521261086709
Residentia,F30_60_90,inception_v3,1,191703,63921,63426,0.4232549632361712,0.8580648546542134,0.97100387934447,5071,84.89578366279602,81.18699193296659,0.9110475589147431
Residentia,F30_60_90,inception_v3,2,191178,64446,63426,0.4364026859924991,0.8702382201700073,0.969278422816177,5440,85.8165442943573,80.89994683703523,0.9170921423700071
Residentia,F30_60_90,inception_v3,3,192063,63561,63426,0.3887042073921383,0.8291356210865078,0.9736085438488395,5783,82.57181644439697,81.18006960199014,0.8955830121665533
Residentia,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.4770165973548286,0.9289537202224788,0.9551830803539314,3854,89.66670036315918,76.5180634903306,0.9418858287963965
Residentia,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.4651260611194488,0.9132122992968832,0.9589156825653363,3058,88.64976763725281,77.77033985287999,0.9355061232900029
Residentia,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.40675371279454314,0.9827718893203204,0.9307591644718316,3140,91.85665249824524,65.70929184285544,0.9560586338616508
Residentia,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.43537451366332697,0.8883583447021374,0.9625158710606606,3224,86.81771159172058,78.59897929524763,0.923951502142019
Meeting,F30,inception_v3,0,63976,21232,21142,0.17675596952416597,0.13602166716822148,0.6217331499312242,3228,85.11966466903687,74.05506308069053,0.22320987654320987
Meeting,F30,inception_v3,1,63901,21307,21142,0.15686849429741587,0.12141280353200883,0.6808803301237965,2319,81.96008205413818,75.27105544814427,0.2060782681099084
Meeting,F30,inception_v3,2,63726,21482,21142,0.12135081828198083,0.09882988298829883,0.7551581843191196,2561,75.48008561134338,75.49731651451097,0.17478510028653296
Meeting,F30,inception_v3,3,64021,21187,21142,0.16436853620549566,0.12628600823045266,0.6753782668500687,2520,82.81619548797607,75.44905049655682,0.21278439869989166
Meeting,F30,mobilenet_1.0_224,0,63976,21232,21142,0.1824913667158649,0.16494845360824742,0.33012379642365886,1646,91.94967150688171,63.53043669847905,0.21998166819431714
Meeting,F30,mobilenet_1.0_224,1,63901,21307,21142,0.09129742088798905,0.0817398919865713,0.7702888583218707,1173,69.45416927337646,73.10665452520448,0.14779625230931645
Meeting,F30,mobilenet_1.0_224,2,63726,21482,21142,0.16384675248459551,0.1878238341968912,0.19944979367262725,1044,94.28152441978455,58.436854121544656,0.1934623082054703
Meeting,F30,mobilenet_1.0_224,3,64021,21187,21142,0.16298080030679082,0.14416475972540047,0.3466299862448418,1054,90.67732691764832,63.667526743052775,0.20363636363636364
Meeting,F60,inception_v3,0,63976,21232,21142,0.13001004445360811,0.10406189555125725,0.7400275103163686,3194,77.19705104827881,75.65677595667074,0.18246566050534171
Meeting,F60,inception_v3,1,63901,21307,21142,0.1471088262159417,0.11528647645557875,0.6836313617606602,2243,80.87219595909119,74.84039738022013,0.19730051607780866
Meeting,F60,inception_v3,2,63726,21482,21142,0.17303276637797388,0.13438368860055608,0.5983493810178817,2814,85.36562323570251,73.05486802223868,0.2194752774974773
Meeting,F60,inception_v3,3,64021,21187,21142,0.13255343885067933,0.10583720460513028,0.7207702888583218,2429,78.10046076774597,75.19599668636454,0.1845720324057767
Meeting,F60,mobilenet_1.0_224,0,63976,21232,21142,0.19414727180218683,0.17202141900937082,0.3535075653370014,1624,91.92602634429932,64.64574319459928,0.23142728500675375
Meeting,F60,mobilenet_1.0_224,1,63901,21307,21142,0.046076660211475266,0.057308096740273394,0.8995873452544704,1319,48.77021908760071,68.63109393428854,0.10775187412472197
Meeting,F60,mobilenet_1.0_224,2,63726,21482,21142,0.09247743010024484,0.30612244897959184,0.061898211829436035,1286,96.29173874855042,52.84509427993617,0.10297482837528603
Meeting,F60,mobilenet_1.0_224,3,64021,21187,21142,0.2044545009553579,0.18701700154559506,0.3328748280605227,1325,92.73011088371277,64.06720454287428,0.23948540326571002
Meeting,F90,inception_v3,0,63976,21232,21142,0.15338613619893632,0.1202909846713432,0.6368638239339752,3280,82.73578882217407,73.5502693255256,0.20236013986013987
